tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,1,N0BS,,,Mariano Navone,R,178,ARG,25.459,44,1066,C0JP,,,Raphael Collignon,R,191.0,BEL,24.583,38,1222,6-3 7-6(3),3,R128,111,1,0,63,44,37,10,11,2,3,7,8,83,51,35,13,10,11,13
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,2,KI95,,,Miomir Kecmanovic,R,183,SRB,26.954,66,930,U182,,,Camilo Ugo Carabelli,R,185.0,ARG,27.159,76,790,6-3 6-3,3,R128,87,5,3,60,29,22,18,9,7,8,5,6,64,33,20,13,9,8,12
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,3,L0IL,,,Martin Landaluce,R,193,ESP,20.597,67,922,D0CO,,WC,Jack Draper,L,193.0,GBR,24.643,143,410,6-3 7-5,3,R128,116,4,6,69,34,25,17,10,3,5,6,12,90,48,33,14,11,7,12
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,4,N771,,,Cameron Norrie,L,188,GBR,30.976,35,1345,P0HW,,,Dino Prizmic,R,188.0,CRO,21.024,101,652,3-6 6-1 6-4,3,R128,117,3,3,81,47,36,20,13,4,5,11,4,65,34,27,17,13,1,4
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,5,SU55,,,Denis Shapovalov,L,185,CAN,27.332,48,1045,ME82,,,Adrian Mannarino,L,180.0,FRA,38.125,52,1005,6-1 6-4,3,R128,85,9,4,56,37,27,10,9,5,6,3,4,60,33,22,8,8,5,9
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,6,SL28,,,Jan-Lennard Struff,R,193,GER,36.304,43,1069,B0FV,,,Roman Andres Burruchaga,R,183.0,ARG,24.556,61,962,7-6(4) 2-6 6-3,3,R128,144,16,8,113,61,46,23,15,7,10,12,4,90,62,45,13,14,5,7
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,7,T0A1,,,Thiago Agustin Tirante,R,185,ARG,25.344,50,1011,CH12,,,Jan Choinski,R,196.0,GBR,30.177,77,770,7-6(9) 6-7(7) 7-6(4),3,R128,176,20,4,118,59,46,39,18,3,5,14,3,124,81,58,27,18,5,7
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,8,H0BH,,,Rinky Hijikata,R,178,AUS,25.47,95,673,MC65,,,Gael Monfils,R,193.0,FRA,39.951,305,180,2-6 7-6(5) 6-3,3,R128,151,3,4,101,56,37,28,15,2,6,16,7,123,57,46,27,14,2,5
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,9,A0GC,,,Terence Atmane,L,193,FRA,24.594,45,1057,F724,,,Marton Fucsovics,R,188.0,HUN,34.513,82,750,3-1 RET,3,R128,21,4,0,15,7,6,5,2,0,0,0,0,14,7,3,3,2,1,2
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,10,B0GG,,,Mattia Bellucci,L,175,ITA,25.202,81,751,S0K7,,,Zachary Svajda,R,175.0,USA,23.707,84,749,7-6(0) 7-6(4),3,R128,124,6,3,86,59,39,20,12,5,6,8,3,85,50,40,14,12,6,7
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,11,HB71,,,Hubert Hurkacz,R,196,POL,29.503,69,915,SY67,,LL,Sho Shimabukuro,R,180.0,JPN,29.04,90,697,6-2 6-4,3,R128,73,13,1,48,34,28,10,9,2,2,2,3,62,38,25,10,9,2,5
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,12,V0DP,,,Adolfo Daniel Vallejo,R,183,PAR,22.294,70,914,J0AZ,,Q,Kyrian Jacquet,R,175.0,FRA,25.259,119,551,6-2 6-4,3,R128,70,7,3,44,26,24,13,9,1,1,3,2,61,33,22,14,9,7,10
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,13,AE14,,,Daniel Altmaier,R,188,GER,27.921,65,944,W0BH,,Q,Coleman Wong,R,191.0,HKG,22.188,93,680,3-6 6-3 6-4,3,R128,139,9,3,91,54,39,19,14,7,10,11,7,88,47,37,16,14,3,7
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,14,HB64,,Q,Quentin Halys,R,191,FRA,29.799,57,980,KI82,,,Vit Kopriva,R,178.0,CZE,29.164,71,886,7-6(5) 6-4,3,R128,107,12,2,76,44,33,17,11,3,5,2,2,66,36,28,13,11,1,4
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,15,TE51,,,Stefanos Tsitsipas,R,193,GRE,28.005,49,1020,R0EB,,,Valentin Royer,R,188.0,FRA,25.21,78,768,7-6(4) 7-5,3,R128,118,4,2,76,40,28,23,12,0,2,2,4,79,46,31,14,12,4,7
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,16,B0BI,,,Sebastian Baez,R,170,ARG,25.626,53,1005,D875,,,Grigor Dimitrov,R,191.0,BUL,35.247,138,432,1-6 6-3 6-4,3,R128,108,1,2,77,47,30,19,13,6,9,6,7,76,43,35,16,13,3,6
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,17,H997,,,Yannick Hanfmann,R,193,GER,34.752,55,986,V0DZ,,Q,Luca Van Assche,R,178.0,FRA,22.259,54,1001,6-2 6-4,3,R128,102,10,3,59,35,28,13,9,4,4,4,4,68,41,24,13,9,5,8
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,18,M0QI,,,Alex Michelsen,R,193,USA,21.969,41,1090,,,,Jesper De Jong,,,,,106,618,6-4 6-4,3,R128,83,7,1,57,36,30,12,10,2,2,3,4,58,29,23,12,10,2,4
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,19,BK40,,,Matteo Berrettini,R,196,ITA,30.338,42,1085,D0DW,,Q,Titouan Droguet,R,191.0,FRA,25.164,111,594,3-6 6-1 6-4,3,R128,120,9,4,81,44,39,18,13,1,2,7,3,76,47,37,12,13,3,6
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,20,CD85,,,Pablo Carreno Busta,R,188,ESP,35.091,72,885,M0FH,,,Tomas Machac,R,183.0,CZE,25.834,62,960,6-3 6-2,3,R128,73,1,5,53,27,18,15,9,3,5,3,4,53,29,17,10,8,3,8
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,21,V812,,,Botic Van De Zandschulp,R,191,NED,30.861,59,969,,,,Aleksandr Shevchenko,,,,,89,699,6-4 6-4,3,R128,112,7,5,62,38,33,10,10,3,4,9,6,86,46,33,16,10,5,8
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,22,C0C8,,,Juan Manuel Cerundolo,L,183,ARG,24.745,51,1006,L0GH,,Q,Mark Lajal,R,191.0,EST,23.258,159,361,6-4 6-4,3,R128,83,4,2,53,23,22,18,10,0,0,5,2,57,36,26,15,10,5,7
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,23,D994,,,James Duckworth,R,183,AUS,34.563,86,743,W09G,,Q,J.J. Wolf,R,183.0,USA,27.647,285,195,7-5 7-6(0),3,R128,114,7,3,68,36,32,19,12,3,4,5,3,96,54,34,21,12,5,7
2026-422,Cincinnati Masters,Hard,96,M,O,20260814,24,O483,,Q,Christopher O'Connell,R,183,AUS,32.197,129,491,MQ75,,,Kamil Majchrzak,R,183.0,POL,30.585,68,917,6-4 7-6(5),3,R128,114,11,3,82,46,35,20,11,6,7,13,2,73,43,32,15,11,2,4
2026-422,Cincinnati Masters,Hard,96,M,O,20260815,25,BT72,,,Nuno Borges,R,185,POR,29.484,47,1045,KD46,,PR,Thanasi Kokkinakis,R,193.0,AUS,30.346,440,108,5-7 7-6(3) 7-6(4),3,R128,178,18,3,102,67,59,17,18,0,2,20,5,119,64,52,30,18,5,6
2026-422,Cincinnati Masters,Hard,96,M,O,20260815,26,SU87,,,Lorenzo Sonego,R,191,ITA,31.264,88,718,S0RE,,PR,Juncheng Shang,L,180.0,CHN,21.53,228,245,6-3 6-3,3,R128,87,7,2,60,39,28,11,9,2,3,1,5,54,25,14,15,9,3,7
