match_key,match_date,year,tourney_id,tournament,event_type,surface,indoor,round,best_of,score,minutes,data_source,player_id,player,player_rank,player_seed,player_entry,opponent_id,opponent,opponent_country,opponent_rank,opponent_seed,result,win,aces,double_faults,serve_points,first_serves_in,first_serve_points_won,second_serve_points_won,service_games,bp_saved,bp_faced,opp_bp_saved,opp_bp_faced,ranking_difference,upset_win,upset_loss,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,bp_save_pct,bp_opportunities,bp_converted,bp_conversion_pct,ace_rate,double_fault_rate,completed_sets,winner_sets_won,loser_sets_won,tiebreaks_played,winner_tiebreaks_won,loser_tiebreaks_won,winner_won_first_set,retirement_or_abandoned,walkover_or_default,score_parseable,deciding_set_played,five_set_match,player_sets_won,opponent_sets_won,player_tiebreaks_won,tiebreak_win_pct,straight_set_win,deciding_set_win,five_set_win,comeback_win,ranking_expected_win_prob,expectation_group,performance_vs_expectation,expectation_outcome
2026-580|12,2026-01-18,2026,2026-580,Australian Open,Grand Slam,Hard,O,R128,5,6-4 6-4 3-6 6-7(0) 6-3,224.0,completed,Z0BZ,Michael Zheng,174.0,,,K0AH,Sebastian Korda,USA,53.0,,W,1,4.0,0.0,174.0,115.0,79.0,34.0,0.0,6.0,7.0,4.0,8.0,-121.0,1,0,0.6609195402298851,0.6869565217391305,0.576271186440678,0.8571428571428571,8.0,4.0,0.5,0.022988505747126436,0.0,5,3,2,1,0,1,True,False,False,True,True,True,3,2,0,0.0,0,1,1,0,0.23348017621145375,Expected loss,0.7665198237885462,Upset win
2026-580|12,2026-01-18,2026,2026-580,Australian Open,Grand Slam,Hard,O,R128,5,6-4 6-4 3-6 6-7(0) 6-3,224.0,completed,K0AH,Sebastian Korda,53.0,,,Z0BZ,Michael Zheng,USA,174.0,,L,0,22.0,5.0,142.0,89.0,71.0,31.0,0.0,4.0,8.0,6.0,7.0,121.0,0,1,0.6267605633802817,0.797752808988764,0.5849056603773585,0.5,7.0,1.0,0.14285714285714285,0.15492957746478872,0.035211267605633804,5,3,2,1,0,1,True,False,False,True,True,True,2,3,1,1.0,0,0,0,0,0.7665198237885462,Expected win,-0.7665198237885462,Unexpected loss
2026-580|13,2026-01-18,2026,2026-580,Australian Open,Grand Slam,Hard,O,R128,5,6-4 6-4 6-4,127.0,completed,B0CD,Jenson Brooksby,48.0,,,BK92,Alexander Bublik,KAZ,10.0,10.0,L,0,4.0,1.0,97.0,61.0,38.0,20.0,0.0,7.0,11.0,7.0,8.0,-38.0,0,0,0.6288659793814433,0.6229508196721312,0.5555555555555556,0.6363636363636364,8.0,1.0,0.125,0.041237113402061855,0.010309278350515464,3,3,0,0,0,0,True,False,False,True,False,False,0,3,0,,0,0,0,0,0.1724137931034483,Expected loss,-0.1724137931034483,Loss
2026-580|14,2026-01-18,2026,2026-580,Australian Open,Grand Slam,Hard,O,R128,5,7-5 4-6 6-4 7-6(3),172.0,completed,S0K7,Zachary Svajda,143.0,,,H997,Yannick Hanfmann,GER,102.0,,L,0,11.0,8.0,143.0,102.0,69.0,18.0,0.0,4.0,9.0,4.0,8.0,-41.0,0,0,0.7132867132867133,0.6764705882352942,0.43902439024390244,0.4444444444444444,8.0,4.0,0.5,0.07692307692307693,0.055944055944055944,4,3,1,1,1,0,True,False,False,True,False,False,1,3,0,0.0,0,0,0,0,0.4163265306122449,Toss-up,-0.4163265306122449,Loss
2026-580|6,2026-01-18,2026,2026-580,Australian Open,Grand Slam,Hard,O,R128,5,6-2 6-3 3-6 6-3,168.0,completed,K0A3,Patrick Kypson,116.0,,,C0DF,Francisco Comesana,ARG,68.0,,L,0,12.0,7.0,118.0,111.0,68.0,0.0,0.0,6.0,10.0,1.0,2.0,-48.0,0,0,0.940677966101695,0.6126126126126126,0.0,0.6,2.0,1.0,0.5,0.1016949152542373,0.059322033898305086,4,3,1,0,0,0,True,False,False,True,False,False,1,3,0,,0,0,0,0,0.3695652173913043,Toss-up,-0.3695652173913043,Loss
2026-580|8,2026-01-18,2026,2026-580,Australian Open,Grand Slam,Hard,O,R128,5,6-2 7-5 6-7(5) 4-6 7-6(6),215.0,completed,N0AM,Emilio Nava,89.0,,,J0AZ,Kyrian Jacquet,FRA,128.0,,W,1,27.0,6.0,159.0,110.0,87.0,28.0,0.0,5.0,8.0,6.0,11.0,39.0,0,0,0.6918238993710691,0.7909090909090909,0.5714285714285714,0.625,11.0,5.0,0.45454545454545453,0.16981132075471697,0.03773584905660377,5,3,2,2,1,1,True,False,False,True,True,True,3,2,1,0.5,0,1,1,0,0.5898617511520737,Toss-up,0.41013824884792627,Win
2026-580|9,2026-01-18,2026,2026-580,Australian Open,Grand Slam,Hard,O,R128,5,7-6(4) 6-3 6-2,136.0,completed,TD51,Frances Tiafoe,34.0,29.0,,KB95,Jason Kubler,AUS,194.0,,W,1,23.0,5.0,108.0,64.0,50.0,22.0,0.0,5.0,6.0,2.0,6.0,160.0,0,0,0.5925925925925926,0.78125,0.5,0.8333333333333334,6.0,4.0,0.6666666666666666,0.21296296296296297,0.046296296296296294,3,3,0,1,1,0,True,False,False,True,False,False,3,0,1,1.0,1,0,0,0,0.8508771929824561,Expected win,0.14912280701754388,Win
2026-580|20,2026-01-19,2026,2026-580,Australian Open,Grand Slam,Hard,O,R128,5,6-4 6-3 6-3,94.0,completed,K0AZ,Aleksandar Kovacevic,56.0,,,PL56,Tommy Paul,USA,20.0,19.0,L,0,10.0,5.0,77.0,47.0,34.0,13.0,0.0,2.0,6.0,0.0,0.0,-36.0,0,0,0.6103896103896104,0.723404255319149,0.43333333333333335,0.3333333333333333,0.0,0.0,,0.12987012987012986,0.06493506493506493,3,3,0,0,0,0,True,False,False,True,False,False,0,3,0,,0,0,0,0,0.2631578947368421,Expected loss,-0.2631578947368421,Loss
2026-580|20,2026-01-19,2026,2026-580,Australian Open,Grand Slam,Hard,O,R128,5,6-4 6-3 6-3,94.0,completed,PL56,Tommy Paul,20.0,19.0,,K0AZ,Aleksandar Kovacevic,USA,56.0,,W,1,20.0,0.0,67.0,44.0,40.0,16.0,0.0,0.0,0.0,2.0,6.0,36.0,0,0,0.6567164179104478,0.9090909090909091,0.6956521739130435,,6.0,4.0,0.6666666666666666,0.29850746268656714,0.0,3,3,0,0,0,0,True,False,False,True,False,False,3,0,0,,1,0,0,0,0.7368421052631579,Expected win,0.26315789473684215,Win
2026-580|22,2026-01-19,2026,2026-580,Australian Open,Grand Slam,Hard,O,R128,5,6-4 6-3 6-4,93.0,completed,O522,Reilly Opelka,63.0,,,B0U4,Nicolai Budkov Kjaer,NOR,135.0,,W,1,23.0,4.0,71.0,54.0,51.0,10.0,0.0,2.0,2.0,1.0,4.0,72.0,0,0,0.7605633802816901,0.9444444444444444,0.5882352941176471,1.0,4.0,3.0,0.75,0.323943661971831,0.056338028169014086,3,3,0,0,0,0,True,False,False,True,False,False,3,0,0,,1,0,0,0,0.6818181818181818,Expected win,0.31818181818181823,Win
